"","X","Semester","Banyak","namaPT","namaProdi","statusProdi","tanggalBerdiri"
"1",1,"Ganjil 2016","11","Universitas Islam Attahiriyah","Komunikasi dan Penyiaran Islam","Aktif","8 Desember 2009"
"2",2,"Genap 2015","2","Universitas Islam Attahiriyah","Komunikasi dan Penyiaran Islam","Aktif","8 Desember 2009"
"3",3,"Ganjil 2015","2","Universitas Islam Attahiriyah","Komunikasi dan Penyiaran Islam","Aktif","8 Desember 2009"
"4",4,"Genap 2015","490","Universitas Islam Attahiriyah","Ilmu Hukum","Aktif","23 Juni 1987"
"5",5,"Ganjil 2015","1949","Universitas Islam Attahiriyah","Ilmu Hukum","Aktif","23 Juni 1987"
"6",6,"Genap 2014","1519","Universitas Islam Attahiriyah","Ilmu Hukum","Aktif","23 Juni 1987"
"7",7,"Ganjil 2014","1205","Universitas Islam Attahiriyah","Ilmu Hukum","Aktif","23 Juni 1987"
"8",8,"Genap 2013","341","Universitas Islam Attahiriyah","Ilmu Hukum","Aktif","23 Juni 1987"
"9",9,"Ganjil 2013","1209","Universitas Islam Attahiriyah","Ilmu Hukum","Aktif","23 Juni 1987"
"10",10,"Genap 2012","418","Universitas Islam Attahiriyah","Ilmu Hukum","Aktif","23 Juni 1987"
"11",11,"Ganjil 2012","451","Universitas Islam Attahiriyah","Ilmu Hukum","Aktif","23 Juni 1987"
"12",12,"Ganjil 2009","2768","Universitas Islam Attahiriyah","Ilmu Hukum","Aktif","23 Juni 1987"
"13",13,"Genap 2015","396","Universitas Islam Attahiriyah","Manajemen","Aktif","23 Juni 1987"
"14",14,"Ganjil 2015","1323","Universitas Islam Attahiriyah","Manajemen","Aktif","23 Juni 1987"
"15",15,"Genap 2014","1055","Universitas Islam Attahiriyah","Manajemen","Aktif","23 Juni 1987"
"16",16,"Ganjil 2014","862","Universitas Islam Attahiriyah","Manajemen","Aktif","23 Juni 1987"
"17",17,"Genap 2013","447","Universitas Islam Attahiriyah","Manajemen","Aktif","23 Juni 1987"
"18",18,"Ganjil 2013","272","Universitas Islam Attahiriyah","Manajemen","Aktif","23 Juni 1987"
"19",19,"Ganjil 2009","594","Universitas Islam Attahiriyah","Manajemen","Aktif","23 Juni 1987"
"20",20,"Ganjil 2016","179","Universitas Islam Attahiriyah","Pendidikan Agama Islam","Aktif","24 Mei 2012"
"21",21,"Genap 2015","58","Universitas Islam Attahiriyah","Pendidikan Agama Islam","Aktif","24 Mei 2012"
"22",22,"Ganjil 2015","61","Universitas Islam Attahiriyah","Pendidikan Agama Islam","Aktif","24 Mei 2012"
"24",24,"Genap 2015","46","Universitas Islam Attahiriyah","Akuntansi","Aktif","23 Juni 1987"
"25",25,"Ganjil 2015","495","Universitas Islam Attahiriyah","Akuntansi","Aktif","23 Juni 1987"
"26",26,"Genap 2014","400","Universitas Islam Attahiriyah","Akuntansi","Aktif","23 Juni 1987"
"27",27,"Ganjil 2014","355","Universitas Islam Attahiriyah","Akuntansi","Aktif","23 Juni 1987"
"28",28,"Genap 2013","246","Universitas Islam Attahiriyah","Akuntansi","Aktif","23 Juni 1987"
"29",29,"Ganjil 2013","250","Universitas Islam Attahiriyah","Akuntansi","Aktif","23 Juni 1987"
"30",30,"Genap 2012","114","Universitas Islam Attahiriyah","Akuntansi","Aktif","23 Juni 1987"
"31",31,"Ganjil 2012","109","Universitas Islam Attahiriyah","Akuntansi","Aktif","23 Juni 1987"
"32",32,"Ganjil 2009","268","Universitas Islam Attahiriyah","Akuntansi","Aktif","23 Juni 1987"
"33",33,"Ganjil 2016","28","Universitas Islam Attahiriyah","Bahasa dan Sastra Arab","Aktif","8 Desember 2009"
"34",34,"Genap 2015","9","Universitas Islam Attahiriyah","Bahasa dan Sastra Arab","Aktif","8 Desember 2009"
"35",35,"Ganjil 2015","9","Universitas Islam Attahiriyah","Bahasa dan Sastra Arab","Aktif","8 Desember 2009"
"36",36,"Genap 2016","63","Universitas Islam Attahiriyah","Pendidikan Islam","Aktif","15 Mei 2012"
"37",37,"Ganjil 2016","79","Universitas Islam Attahiriyah","Pendidikan Islam","Aktif","15 Mei 2012"
"38",38,"Genap 2015","68","Universitas Islam Attahiriyah","Pendidikan Islam","Aktif","15 Mei 2012"
"39",39,"Ganjil 2015","67","Universitas Islam Attahiriyah","Pendidikan Islam","Aktif","15 Mei 2012"
"40",40,"Genap 2014","92","Universitas Islam Attahiriyah","Pendidikan Islam","Aktif","15 Mei 2012"
"41",41,"Ganjil 2014","92","Universitas Islam Attahiriyah","Pendidikan Islam","Aktif","15 Mei 2012"
"42",42,"Genap 2013","92","Universitas Islam Attahiriyah","Pendidikan Islam","Aktif","15 Mei 2012"
"43",43,"Ganjil 2013","59","Universitas Islam Attahiriyah","Pendidikan Islam","Aktif","15 Mei 2012"
"44",44,"Genap 2016","142","Universitas Islam Attahiriyah","Teknik Informatika","Aktif","5 Agustus 1996"
"45",45,"Ganjil 2016","539","Universitas Islam Attahiriyah","Teknik Informatika","Aktif","5 Agustus 1996"
"46",46,"Genap 2015","567","Universitas Islam Attahiriyah","Teknik Informatika","Aktif","5 Agustus 1996"
"47",47,"Ganjil 2015","597","Universitas Islam Attahiriyah","Teknik Informatika","Aktif","5 Agustus 1996"
"48",48,"Genap 2014","510","Universitas Islam Attahiriyah","Teknik Informatika","Aktif","5 Agustus 1996"
"49",49,"Ganjil 2014","507","Universitas Islam Attahiriyah","Teknik Informatika","Aktif","5 Agustus 1996"
"50",50,"Genap 2013","497","Universitas Islam Attahiriyah","Teknik Informatika","Aktif","5 Agustus 1996"
"51",51,"Ganjil 2013","35","Universitas Islam Attahiriyah","Teknik Informatika","Aktif","5 Agustus 1996"
"52",52,"Genap 2012","528","Universitas Islam Attahiriyah","Teknik Informatika","Aktif","5 Agustus 1996"
"53",53,"Ganjil 2012","488","Universitas Islam Attahiriyah","Teknik Informatika","Aktif","5 Agustus 1996"
"54",54,"Genap 2011","414","Universitas Islam Attahiriyah","Teknik Informatika","Aktif","5 Agustus 1996"
"55",55,"Ganjil 2011","418","Universitas Islam Attahiriyah","Teknik Informatika","Aktif","5 Agustus 1996"
"56",56,"Genap 2010","381","Universitas Islam Attahiriyah","Teknik Informatika","Aktif","5 Agustus 1996"
"57",57,"Ganjil 2010","447","Universitas Islam Attahiriyah","Teknik Informatika","Aktif","5 Agustus 1996"
"58",58,"Genap 2009","356","Universitas Islam Attahiriyah","Teknik Informatika","Aktif","5 Agustus 1996"
"59",59,"Ganjil 2009","356","Universitas Islam Attahiriyah","Teknik Informatika","Aktif","5 Agustus 1996"
"60",60,"Ganjil 2016","24","Universitas Islam Attahiriyah","Hukum Keluarga (Ahwal Syakhshiyah)","Aktif","8 Desember 2009"
"61",61,"Genap 2015","9","Universitas Islam Attahiriyah","Hukum Keluarga (Ahwal Syakhshiyah)","Aktif","8 Desember 2009"
"62",62,"Ganjil 2015","10","Universitas Islam Attahiriyah","Hukum Keluarga (Ahwal Syakhshiyah)","Aktif","8 Desember 2009"
"63",63,"Ganjil 2017","67","Universitas Persada Indonesia Yai","Teknik Informatika","Aktif","22 Mei 1992"
"64",64,"Genap 2016","67","Universitas Persada Indonesia Yai","Teknik Informatika","Aktif","22 Mei 1992"
